task,perturbation,category,base_instruction,perturbed_instruction,instruction_changed,prompt_changed,base_prompt_preview,perturbed_prompt_preview,instruction_semantic_distance,closest_other_pert,min_pairwise_dsem
bbh_date,instruction_rewrite,rewrite,Choose the best answer. Respond with only the letter.,Select the correct option. Write only the corresponding letter.,True,True,"Today is Christmas Eve of 1937. What is the date tomorrow in MM/DD/YYYY?
Options:
(A) 12/11/1937
(B) 12/25/1937
(C) 01/04/1938
(D) 12/04/1937
(E) 12/2","Today is Christmas Eve of 1937. What is the date tomorrow in MM/DD/YYYY?
Options:
(A) 12/11/1937
(B) 12/25/1937
(C) 01/04/1938
(D) 12/04/1937
(E) 12/2",0.497741,lex_rewrite,0.437929
arc,lex_rewrite,lexical,Answer with only the letter of the correct choice.,Select the correct choice and answer with only the letter.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.287199,lex_lowercase,0.287199
arc,lex_typo,lexical,Answer with only the letter of the correct choice.,Answej with only the letter of the ccrrect cNoice.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.61239,lex_lowercase,0.61239
arc,lex_lowercase,lexical,Answer with only the letter of the correct choice.,answer with only the letter of the correct choice.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.0,struct_inst_first,0.0
arc,struct_inst_first,structural,Answer with only the letter of the correct choice.,Answer with only the letter of the correct choice.,False,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,"Answer with only the letter of the correct choice.
Question: A group of engineers wanted to know how different building designs would respond during a",0.0,lex_lowercase,0.0
arc,ctx_role,contextual,Answer with only the letter of the correct choice.,You are an expert linguist and logician. Answer with only the letter of the correct choice.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.399555,lex_lowercase,0.399555
arc,ctx_irrelevant,contextual,Answer with only the letter of the correct choice.,Note: This is part of a larger evaluation suite. Answer with only the letter of the correct choice.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.384786,lex_lowercase,0.384786
arc,fmt_caps,formatting,Answer with only the letter of the correct choice.,ANSWER WITH ONLY THE LETTER OF THE CORRECT CHOICE.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.0,lex_lowercase,0.0
arc,fmt_separators,formatting,Answer with only the letter of the correct choice.,Answer with only the letter of the correct choice.,False,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.0,lex_lowercase,0.0
arc,instruction_rewrite,rewrite,Answer with only the letter of the correct choice.,Which option is correct? Write just the letter.,True,True,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,Question: A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings,0.338404,lex_rewrite,0.314026
