model,task,perturbation,category,base_acc,pert_acc,acc_drop,flip_rate,d_sem,sensitivity_score,direction,collapsed
gemma2-9b-it,bbh_date,lex_lowercase,lexical,58.0,58.4,-0.4,0.008,0.0,0.0032,improvement,False
gemma2-9b-it,bbh_date,struct_inst_first,structural,58.0,56.4,1.6,0.112,0.0,0.1792,drop,False
gemma2-9b-it,bbh_date,ctx_role,contextual,58.0,60.0,-2.0,0.052,0.415939,0.104,improvement,False
gemma2-9b-it,bbh_date,ctx_irrelevant,contextual,58.0,58.0,0.0,0.024,0.374796,0.0,no_change,False
gemma2-9b-it,bbh_date,fmt_caps,formatting,58.0,57.6,0.4,0.02,0.0,0.008,drop,False
gemma2-9b-it,bbh_date,fmt_separators,formatting,58.0,58.4,-0.4,0.092,0.0,0.0368,improvement,False
gemma2-9b-it,bbh_date,instruction_rewrite,rewrite,58.0,58.8,-0.8,0.104,0.497741,0.0832,improvement,False
gemma2-9b-it,arc,lex_rewrite,lexical,90.67,91.0,-0.33,0.01,0.287199,0.0033,improvement,False
gemma2-9b-it,arc,lex_typo,lexical,90.67,90.33,0.33,0.0167,0.584679,0.0056,drop,False
gemma2-9b-it,arc,lex_lowercase,lexical,90.67,90.33,0.33,0.0033,0.0,0.0011,drop,False
gemma2-9b-it,arc,struct_inst_first,structural,90.67,91.33,-0.67,0.0133,0.0,0.0089,improvement,False
gemma2-9b-it,arc,ctx_role,contextual,90.67,91.0,-0.33,0.0167,0.399555,0.0056,improvement,False
gemma2-9b-it,arc,ctx_irrelevant,contextual,90.67,90.0,0.67,0.0133,0.384786,0.0089,drop,False
gemma2-9b-it,arc,fmt_caps,formatting,90.67,90.67,0.0,0.0133,0.0,0.0,no_change,False
gemma2-9b-it,arc,fmt_separators,formatting,90.67,89.67,1.0,0.0233,0.0,0.0233,drop,False
gemma2-9b-it,arc,instruction_rewrite,rewrite,90.67,91.67,-1.0,0.0167,0.338404,0.0167,improvement,False
qwen2.5-7b-instruct,mnli,lex_rewrite,lexical,80.33,84.67,-4.33,0.1,0.111398,0.4333,improvement,False
qwen2.5-7b-instruct,mnli,lex_typo,lexical,80.33,82.67,-2.33,0.19,0.503901,0.4433,improvement,False
qwen2.5-7b-instruct,mnli,lex_lowercase,lexical,80.33,81.67,-1.33,0.03,0.0,0.04,improvement,False
qwen2.5-7b-instruct,mnli,struct_inst_first,structural,80.33,82.67,-2.33,0.1533,0.0,0.3578,improvement,False
qwen2.5-7b-instruct,mnli,ctx_role,contextual,80.33,82.0,-1.67,0.0533,0.036142,0.0889,improvement,False
qwen2.5-7b-instruct,mnli,ctx_irrelevant,contextual,80.33,80.33,0.0,0.0333,0.061145,0.0,no_change,False
qwen2.5-7b-instruct,mnli,fmt_caps,formatting,80.33,83.33,-3.0,0.0867,0.0,0.26,improvement,False
qwen2.5-7b-instruct,mnli,fmt_separators,formatting,80.33,84.0,-3.67,0.09,0.0,0.33,improvement,False
qwen2.5-7b-instruct,mnli,instruction_rewrite,rewrite,80.33,85.67,-5.33,0.1,0.148178,0.5333,improvement,False
qwen2.5-7b-instruct,bbh_date,lex_rewrite,lexical,60.0,59.6,0.4,0.004,0.06795,0.0016,drop,False
qwen2.5-7b-instruct,bbh_date,lex_typo,lexical,60.0,60.8,-0.8,0.072,0.568062,0.0576,improvement,False
qwen2.5-7b-instruct,bbh_date,lex_lowercase,lexical,60.0,62.0,-2.0,0.032,0.0,0.064,improvement,False
qwen2.5-7b-instruct,bbh_date,struct_inst_first,structural,60.0,61.2,-1.2,0.144,0.0,0.1728,improvement,False
qwen2.5-7b-instruct,bbh_date,ctx_role,contextual,60.0,58.8,1.2,0.044,0.415939,0.0528,drop,False
qwen2.5-7b-instruct,bbh_date,ctx_irrelevant,contextual,60.0,56.8,3.2,0.044,0.374796,0.1408,drop,False
qwen2.5-7b-instruct,bbh_date,fmt_caps,formatting,60.0,60.4,-0.4,0.032,0.0,0.0128,improvement,False
qwen2.5-7b-instruct,bbh_date,fmt_separators,formatting,60.0,57.2,2.8,0.132,0.0,0.3696,drop,False
qwen2.5-7b-instruct,bbh_date,instruction_rewrite,rewrite,60.0,58.8,1.2,0.088,0.497741,0.1056,drop,False
qwen2.5-7b-instruct,arc,lex_rewrite,lexical,89.67,89.0,0.67,0.01,0.287199,0.0067,drop,False
qwen2.5-7b-instruct,arc,lex_typo,lexical,89.67,89.0,0.67,0.0233,0.584679,0.0156,drop,False
qwen2.5-7b-instruct,arc,lex_lowercase,lexical,89.67,89.33,0.33,0.0033,0.0,0.0011,drop,False
qwen2.5-7b-instruct,arc,struct_inst_first,structural,89.67,90.33,-0.67,0.0267,0.0,0.0178,improvement,False
qwen2.5-7b-instruct,arc,ctx_role,contextual,89.67,90.0,-0.33,0.01,0.399555,0.0033,improvement,False
qwen2.5-7b-instruct,arc,ctx_irrelevant,contextual,89.67,90.0,-0.33,0.01,0.384786,0.0033,improvement,False
qwen2.5-7b-instruct,arc,fmt_caps,formatting,89.67,90.67,-1.0,0.01,0.0,0.01,improvement,False
qwen2.5-7b-instruct,arc,fmt_separators,formatting,89.67,89.0,0.67,0.0467,0.0,0.0311,drop,False
qwen2.5-7b-instruct,arc,instruction_rewrite,rewrite,89.67,90.0,-0.33,0.0033,0.338404,0.0011,improvement,False
