model,task,perturbation,base_acc,base_ci_lo,base_ci_hi,pert_acc,acc_drop,drop_ci_lo,drop_ci_hi,mcnemar_p,b,c,n_discordant,direction,underpowered,mcnemar_p_adj,significant_005
llama3.1-8b-instruct,arc,lex_rewrite,80.0,75.33,84.33,78.33,1.67,-0.33,4.0,0.2278,8,3,11,drop,True,1.0,False
llama3.1-8b-instruct,arc,lex_typo,80.0,75.33,84.33,73.33,6.67,3.33,10.0,0.000523,25,5,30,drop,False,0.039193,True
llama3.1-8b-instruct,arc,lex_lowercase,80.0,75.33,84.33,79.33,0.67,0.0,1.67,0.4795,2,0,2,drop,True,1.0,False
llama3.1-8b-instruct,arc,struct_inst_first,80.0,75.33,84.33,77.33,2.67,0.0,5.33,0.117525,14,6,20,drop,False,1.0,False
llama3.1-8b-instruct,arc,ctx_role,80.0,75.33,84.33,79.67,0.33,-1.67,2.33,1.0,5,4,9,drop,True,1.0,False
llama3.1-8b-instruct,arc,ctx_irrelevant,80.0,75.33,84.33,80.33,-0.33,-2.34,1.67,1.0,5,6,11,improvement,True,1.0,False
llama3.1-8b-instruct,arc,fmt_caps,80.0,75.33,84.33,79.0,1.0,-1.0,3.0,0.504985,6,3,9,drop,True,1.0,False
llama3.1-8b-instruct,arc,fmt_separators,80.0,75.33,84.33,79.0,1.0,-1.67,3.67,0.627626,10,7,17,drop,True,1.0,False
llama3.1-8b-instruct,arc,instruction_rewrite,80.0,75.33,84.33,80.0,0.0,-2.33,2.33,1.0,6,6,12,no_change,True,1.0,False
gemma2-9b-it,mnli,lex_rewrite,58.33,52.67,63.67,60.33,-2.0,-8.0,4.0,0.598161,42,48,90,improvement,False,1.0,False
gemma2-9b-it,mnli,lex_typo,58.33,52.67,63.67,57.0,1.33,-3.67,6.33,0.683091,29,25,54,drop,False,1.0,False
gemma2-9b-it,mnli,lex_lowercase,58.33,52.67,63.67,58.67,-0.33,-2.67,2.0,1.0,6,7,13,improvement,True,1.0,False
gemma2-9b-it,mnli,struct_inst_first,58.33,52.67,63.67,71.67,-13.33,-19.33,-7.33,2.6e-05,23,63,86,improvement,False,0.002006,True
gemma2-9b-it,mnli,ctx_role,58.33,52.67,63.67,52.33,6.0,1.67,10.33,0.010382,31,13,44,drop,False,0.747489,False
gemma2-9b-it,mnli,ctx_irrelevant,58.33,52.67,63.67,59.67,-1.33,-4.0,1.33,0.453255,6,10,16,improvement,True,1.0,False
gemma2-9b-it,mnli,fmt_caps,58.33,52.67,63.67,55.0,3.33,-0.67,7.33,0.144292,24,14,38,drop,False,1.0,False
gemma2-9b-it,mnli,fmt_separators,58.33,52.67,63.67,57.67,0.67,-1.67,3.33,0.789268,8,6,14,drop,True,1.0,False
gemma2-9b-it,mnli,instruction_rewrite,58.33,52.67,63.67,61.67,-3.33,-8.67,2.0,0.30818,34,44,78,improvement,False,1.0,False
gemma2-9b-it,bbh_date,lex_rewrite,58.0,52.0,64.0,57.6,0.4,0.0,1.2,1.0,1,0,1,drop,True,1.0,False
gemma2-9b-it,bbh_date,lex_typo,58.0,52.0,64.0,58.0,0.0,-2.0,2.0,1.0,3,3,6,no_change,True,1.0,False
gemma2-9b-it,bbh_date,lex_lowercase,58.0,52.0,64.0,58.4,-0.4,-1.2,0.0,1.0,0,1,1,improvement,True,1.0,False
gemma2-9b-it,bbh_date,struct_inst_first,58.0,52.0,64.0,56.4,1.6,-1.6,5.2,0.4795,11,7,18,drop,True,1.0,False
gemma2-9b-it,bbh_date,ctx_role,58.0,52.0,64.0,60.0,-2.0,-4.4,0.4,0.182422,2,7,9,improvement,True,1.0,False
gemma2-9b-it,bbh_date,ctx_irrelevant,58.0,52.0,64.0,58.0,0.0,-1.2,1.2,1.0,1,1,2,no_change,True,1.0,False
gemma2-9b-it,bbh_date,fmt_caps,58.0,52.0,64.0,57.6,0.4,-1.2,2.0,1.0,3,2,5,drop,True,1.0,False
gemma2-9b-it,bbh_date,fmt_separators,58.0,52.0,64.0,58.4,-0.4,-3.2,2.8,1.0,7,8,15,improvement,True,1.0,False
gemma2-9b-it,bbh_date,instruction_rewrite,58.0,52.0,64.0,58.8,-0.8,-4.4,2.4,0.813664,8,10,18,improvement,True,1.0,False
gemma2-9b-it,arc,lex_rewrite,90.67,87.0,93.67,91.0,-0.33,-1.67,0.67,1.0,1,2,3,improvement,True,1.0,False
gemma2-9b-it,arc,lex_typo,90.67,87.0,93.67,90.33,0.33,-1.0,1.67,1.0,3,2,5,drop,True,1.0,False
gemma2-9b-it,arc,lex_lowercase,90.67,87.0,93.67,90.33,0.33,0.0,1.0,1.0,1,0,1,drop,True,1.0,False
gemma2-9b-it,arc,struct_inst_first,90.67,87.0,93.67,91.33,-0.67,-2.0,0.67,0.617075,1,3,4,improvement,True,1.0,False
gemma2-9b-it,arc,ctx_role,90.67,87.0,93.67,91.0,-0.33,-1.67,0.67,1.0,1,2,3,improvement,True,1.0,False
gemma2-9b-it,arc,ctx_irrelevant,90.67,87.0,93.67,90.0,0.67,-0.67,2.0,0.617075,3,1,4,drop,True,1.0,False
gemma2-9b-it,arc,fmt_caps,90.67,87.0,93.67,90.67,0.0,-1.33,1.33,1.0,2,2,4,no_change,True,1.0,False
gemma2-9b-it,arc,fmt_separators,90.67,87.0,93.67,89.67,1.0,-0.67,2.67,0.449692,5,2,7,drop,True,1.0,False
gemma2-9b-it,arc,instruction_rewrite,90.67,87.0,93.67,91.67,-1.0,-2.67,0.33,0.371093,1,4,5,improvement,True,1.0,False
qwen2.5-7b-instruct,mnli,lex_rewrite,80.33,75.67,85.0,84.67,-4.33,-7.67,-1.0,0.025858,8,21,29,improvement,False,1.0,False
qwen2.5-7b-instruct,mnli,lex_typo,80.33,75.67,85.0,82.67,-2.33,-7.0,2.33,0.418492,24,31,55,improvement,False,1.0,False
qwen2.5-7b-instruct,mnli,lex_lowercase,80.33,75.67,85.0,81.67,-1.33,-3.33,0.33,0.288844,2,6,8,improvement,True,1.0,False
qwen2.5-7b-instruct,mnli,struct_inst_first,80.33,75.67,85.0,82.67,-2.33,-7.0,2.01,0.371093,19,26,45,improvement,False,1.0,False
qwen2.5-7b-instruct,mnli,ctx_role,80.33,75.67,85.0,82.0,-1.67,-4.33,1.0,0.3017,5,10,15,improvement,True,1.0,False
qwen2.5-7b-instruct,mnli,ctx_irrelevant,80.33,75.67,85.0,80.33,0.0,-2.0,2.0,1.0,5,5,10,no_change,True,1.0,False
qwen2.5-7b-instruct,mnli,fmt_caps,80.33,75.67,85.0,83.33,-3.0,-6.0,0.0,0.095293,7,16,23,improvement,False,1.0,False
qwen2.5-7b-instruct,mnli,fmt_separators,80.33,75.67,85.0,84.0,-3.67,-7.33,-0.33,0.054292,8,19,27,improvement,False,1.0,False
qwen2.5-7b-instruct,mnli,instruction_rewrite,80.33,75.67,85.0,85.67,-5.33,-9.0,-2.0,0.00617,7,23,30,improvement,False,0.456573,False
qwen2.5-7b-instruct,bbh_date,lex_rewrite,60.0,53.6,66.0,59.6,0.4,0.0,1.2,1.0,1,0,1,drop,True,1.0,False
qwen2.5-7b-instruct,bbh_date,lex_typo,60.0,53.6,66.0,60.8,-0.8,-3.61,2.4,0.789268,6,8,14,improvement,True,1.0,False
qwen2.5-7b-instruct,bbh_date,lex_lowercase,60.0,53.6,66.0,62.0,-2.0,-4.0,0.0,0.13057,1,6,7,improvement,True,1.0,False
qwen2.5-7b-instruct,bbh_date,struct_inst_first,60.0,53.6,66.0,61.2,-1.2,-5.6,3.2,0.710347,13,16,29,improvement,False,1.0,False
qwen2.5-7b-instruct,bbh_date,ctx_role,60.0,53.6,66.0,58.8,1.2,-1.2,3.6,0.504985,6,3,9,drop,True,1.0,False
qwen2.5-7b-instruct,bbh_date,ctx_irrelevant,60.0,53.6,66.0,56.8,3.2,0.8,5.6,0.026857,9,1,10,drop,True,1.0,False
qwen2.5-7b-instruct,bbh_date,fmt_caps,60.0,53.6,66.0,60.4,-0.4,-2.4,1.6,1.0,3,4,7,improvement,True,1.0,False
qwen2.5-7b-instruct,bbh_date,fmt_separators,60.0,53.6,66.0,57.2,2.8,-1.2,6.8,0.230139,16,9,25,drop,False,1.0,False
qwen2.5-7b-instruct,bbh_date,instruction_rewrite,60.0,53.6,66.0,58.8,1.2,-2.0,4.4,0.627626,10,7,17,drop,True,1.0,False
qwen2.5-7b-instruct,arc,lex_rewrite,89.67,86.33,93.0,89.0,0.67,0.0,1.67,0.4795,2,0,2,drop,True,1.0,False
qwen2.5-7b-instruct,arc,lex_typo,89.67,86.33,93.0,89.0,0.67,-1.0,2.33,0.683091,4,2,6,drop,True,1.0,False
qwen2.5-7b-instruct,arc,lex_lowercase,89.67,86.33,93.0,89.33,0.33,0.0,1.0,1.0,1,0,1,drop,True,1.0,False
qwen2.5-7b-instruct,arc,struct_inst_first,89.67,86.33,93.0,90.33,-0.67,-2.33,1.33,0.723674,3,5,8,improvement,True,1.0,False
qwen2.5-7b-instruct,arc,ctx_role,89.67,86.33,93.0,90.0,-0.33,-1.67,0.67,1.0,1,2,3,improvement,True,1.0,False
qwen2.5-7b-instruct,arc,ctx_irrelevant,89.67,86.33,93.0,90.0,-0.33,-1.67,0.67,1.0,1,2,3,improvement,True,1.0,False
qwen2.5-7b-instruct,arc,fmt_caps,89.67,86.33,93.0,90.67,-1.0,-2.33,0.0,0.248213,0,3,3,improvement,True,1.0,False
qwen2.5-7b-instruct,arc,fmt_separators,89.67,86.33,93.0,89.0,0.67,-1.67,3.0,0.789268,8,6,14,drop,True,1.0,False
qwen2.5-7b-instruct,arc,instruction_rewrite,89.67,86.33,93.0,90.0,-0.33,-1.33,0.0,1.0,0,1,1,improvement,True,1.0,False
